开始训练...
{'loss': 0.6278, 'grad_norm': 4.176868438720703, 'learning_rate': 1.4173228346456693e-06, 'epoch': 0.04}
{'loss': 0.5215, 'grad_norm': 3.7458653450012207, 'learning_rate': 2.992125984251969e-06, 'epoch': 0.08}
{'loss': 0.3608, 'grad_norm': 3.7181358337402344, 'learning_rate': 4.566929133858268e-06, 'epoch': 0.12}
{'loss': 0.1952, 'grad_norm': 2.34159779548645, 'learning_rate': 6.141732283464567e-06, 'epoch': 0.16}
{'loss': 0.0751, 'grad_norm': 7.072751522064209, 'learning_rate': 7.716535433070867e-06, 'epoch': 0.2}
{'loss': 0.0351, 'grad_norm': 1.0281449556350708, 'learning_rate': 9.291338582677165e-06, 'epoch': 0.24}
{'loss': 0.0116, 'grad_norm': 0.5792966485023499, 'learning_rate': 1.0866141732283466e-05, 'epoch': 0.28}
{'loss': 0.0205, 'grad_norm': 0.35376375913619995, 'learning_rate': 1.2440944881889764e-05, 'epoch': 0.31}
{'loss': 0.0073, 'grad_norm': 4.670076370239258, 'learning_rate': 1.4015748031496063e-05, 'epoch': 0.35}
{'loss': 0.0039, 'grad_norm': 4.657875061035156, 'learning_rate': 1.559055118110236e-05, 'epoch': 0.39}
{'loss': 0.0163, 'grad_norm': 0.01724874973297119, 'learning_rate': 1.7165354330708663e-05, 'epoch': 0.43}
{'loss': 0.0089, 'grad_norm': 1.7480357885360718, 'learning_rate': 1.8740157480314962e-05, 'epoch': 0.47}
{'loss': 0.0446, 'grad_norm': 13.183660507202148, 'learning_rate': 1.9999848909838078e-05, 'epoch': 0.51}
{'loss': 0.0232, 'grad_norm': 0.12414684891700745, 'learning_rate': 1.9994561233548295e-05, 'epoch': 0.55}
{'loss': 0.0092, 'grad_norm': 0.38690248131752014, 'learning_rate': 1.9981723614189646e-05, 'epoch': 0.59}
{'loss': 0.0012, 'grad_norm': 1.5973821878433228, 'learning_rate': 1.9961345749365964e-05, 'epoch': 0.63}
{'loss': 0.0005, 'grad_norm': 0.08138339221477509, 'learning_rate': 1.9933443032621365e-05, 'epoch': 0.67}
{'loss': 0.0043, 'grad_norm': 0.0045587774366140366, 'learning_rate': 1.989803654181189e-05, 'epoch': 0.71}
{'loss': 0.0003, 'grad_norm': 0.11267721652984619, 'learning_rate': 1.9855153023183187e-05, 'epoch': 0.75}
{'loss': 0.0123, 'grad_norm': 1.0643069744110107, 'learning_rate': 1.9804824871166254e-05, 'epoch': 0.79}
{'loss': 0.0141, 'grad_norm': 0.6269623041152954, 'learning_rate': 1.9747090103906523e-05, 'epoch': 0.83}
{'loss': 0.0217, 'grad_norm': 8.133930206298828, 'learning_rate': 1.9681992334544753e-05, 'epoch': 0.87}
{'loss': 0.0041, 'grad_norm': 0.009857174940407276, 'learning_rate': 1.9609580738271438e-05, 'epoch': 0.91}
{'loss': 0.0042, 'grad_norm': 1.1455727815628052, 'learning_rate': 1.952991001517962e-05, 'epoch': 0.94}
{'loss': 0.0065, 'grad_norm': 0.007393007632344961, 'learning_rate': 1.9443040348944157e-05, 'epoch': 0.98}
{'eval_loss': 1.9431712627410889, 'eval_macro_f1': 0.690084063485908, 'eval_runtime': 5.9601, 'eval_samples_per_second': 469.787, 'eval_steps_per_second': 3.691, 'epoch': 1.0}
{'loss': 0.004, 'grad_norm': 0.09963655471801758, 'learning_rate': 1.934903736135866e-05, 'epoch': 1.02}
{'loss': 0.0065, 'grad_norm': 0.027848809957504272, 'learning_rate': 1.924797206276445e-05, 'epoch': 1.06}
{'loss': 0.0012, 'grad_norm': 0.3733927607536316, 'learning_rate': 1.913992079840898e-05, 'epoch': 1.1}
{'loss': 0.0004, 'grad_norm': 0.004403934348374605, 'learning_rate': 1.9024965190774262e-05, 'epoch': 1.14}
{'loss': 0.0001, 'grad_norm': 0.0030916377436369658, 'learning_rate': 1.89031920779188e-05, 'epoch': 1.18}
{'loss': 0.0001, 'grad_norm': 0.005747046787291765, 'learning_rate': 1.8774693447879658e-05, 'epoch': 1.22}
